"P_SYS_ID","P_QSTNR_SK","P_QSTNR_TY_CD","P_QSTNR_OCC_DT","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1276759,1639458,"30",01-JAN-00,13,"GUESTUSER",04-APR-13 09.22.18.171000000 AM,"GUESTUSER",03-APR-13 10.49.55.118000000 AM
1276759,1639459,"31",01-JAN-00,13,"GUESTUSER",04-APR-13 09.22.18.176000000 AM,"GUESTUSER",03-APR-13 10.49.55.119000000 AM
1276759,1639460,"32",01-JAN-00,13,"GUESTUSER",04-APR-13 09.22.18.176000000 AM,"GUESTUSER",03-APR-13 10.49.55.119000000 AM
1276761,1639497,"38",01-JAN-00,11,"guestUser",05-APR-13 11.17.42.179000000 AM,"guestUser",04-APR-13 03.53.02.665000000 PM
1276761,1639498,"40",01-JAN-00,11,"guestUser",05-APR-13 11.17.42.178000000 AM,"guestUser",04-APR-13 03.53.02.665000000 PM
1276769,1639619,"40",01-JAN-00,18,"guestUser",17-APR-14 11.24.46.446000000 AM,"guestUser",09-APR-13 11.22.15.572000000 AM
1276774,1639800,"07",01-JAN-00,18,"guestUser",01-OCT-13 09.16.38.797000000 AM,"guestUser",10-APR-13 08.40.47.187000000 AM
1276774,1639801,"08",01-JAN-00,18,"guestUser",01-OCT-13 09.16.38.796000000 AM,"guestUser",10-APR-13 08.40.47.187000000 AM
1276774,1639802,"26",01-JAN-00,18,"guestUser",01-OCT-13 09.16.38.795000000 AM,"guestUser",10-APR-13 08.40.47.188000000 AM
1276774,1639803,"25",01-JAN-00,18,"guestUser",01-OCT-13 09.16.38.795000000 AM,"guestUser",10-APR-13 08.40.47.188000000 AM
1276774,1639804,"02",01-JAN-00,18,"guestUser",01-OCT-13 09.16.38.795000000 AM,"guestUser",10-APR-13 08.40.47.188000000 AM
1276774,1639805,"16",01-JAN-00,18,"guestUser",01-OCT-13 09.16.38.794000000 AM,"guestUser",10-APR-13 08.40.47.189000000 AM
1276774,1639806,"17",01-JAN-00,18,"guestUser",01-OCT-13 09.16.38.794000000 AM,"guestUser",10-APR-13 08.40.47.189000000 AM
1276774,1639807,"18",01-JAN-00,18,"guestUser",01-OCT-13 09.16.38.794000000 AM,"guestUser",10-APR-13 08.40.47.189000000 AM
1276774,1639808,"06",01-JAN-00,18,"guestUser",01-OCT-13 09.16.38.798000000 AM,"guestUser",10-APR-13 08.40.47.189000000 AM
1276774,1639809,"19",01-JAN-00,18,"guestUser",01-OCT-13 09.16.38.797000000 AM,"guestUser",10-APR-13 08.40.47.189000000 AM
1276774,1639810,"20",01-JAN-00,18,"guestUser",01-OCT-13 09.16.38.797000000 AM,"guestUser",10-APR-13 08.40.47.190000000 AM
1276774,1639811,"21",01-JAN-00,18,"guestUser",01-OCT-13 09.16.38.797000000 AM,"guestUser",10-APR-13 08.40.47.190000000 AM
1276774,1639812,"22",01-JAN-00,18,"guestUser",01-OCT-13 09.16.38.796000000 AM,"guestUser",10-APR-13 08.40.47.191000000 AM
1276774,1639813,"23",01-JAN-00,18,"guestUser",01-OCT-13 09.16.38.796000000 AM,"guestUser",10-APR-13 08.40.47.191000000 AM
1276774,1639814,"24",01-JAN-00,18,"guestUser",01-OCT-13 09.16.38.795000000 AM,"guestUser",10-APR-13 08.40.47.191000000 AM
1276784,1639900,"36",01-JAN-00,19,"GUESTUSER",11-JUN-13 03.45.16.277000000 PM,"GUESTUSER",10-APR-13 09.35.30.209000000 AM
1276784,1639901,"33",31-DEC-99,19,"GUESTUSER",11-JUN-13 03.45.16.274000000 PM,"GUESTUSER",10-APR-13 09.35.30.209000000 AM
1276785,1639902,"28",31-DEC-99,8,"GUESTUSER",17-APR-13 08.16.19.784000000 AM,"GUESTUSER",10-APR-13 09.40.00.780000000 AM
1276786,1639922,"40",01-JAN-00,8,"guestUser",10-APR-13 10.36.22.421000000 AM,"guestUser",10-APR-13 09.58.08.251000000 AM
